name,writes_flags,reads_flags
ADC,nvzc,c
AND,nz,
ASL,nzc,
BCC,,c
BCS,,c
BEQ,,z
BIT,nvz,
BMI,,n
BNE,,z
BPL,,n
BRK,b,
BVC,,v
BVS,,v
CLC,c,
CLD,d,
CLI,I,
CLV,v,
CMP,nzc,
CPX,nzc,
CPY,nzc,
DEC,nz,
DEX,nz,
DEY,nz,
EOR,nz,
INC,nz,
INX,nz,
INY,nz,
JMP,,
JSR,,
LDA,nz,
LDX,nz,
LDY,nz,
LSR,nzc,
NOP,,
ORA,nz,
PHA,,
PHP,,nvbdizc
PLA,nz,
PLP,nvbdizc,
ROL,nzc,c
ROR,nzc,c
RTI,nvbdizc,
RTS,,
SBC,nvzc,c
SEC,c,
SED,d,
SEI,I,
STA,,
STX,,
STY,,
TAX,nz,
TAY,nz,
TSX,nz,
TXA,nz,
TXS,,
TYA,nz,
